12_x,12_y,9_x,9_y,6_x,6_y,8_x,8_y,ts_12_6,ts_12_8,ts_12_9,ts_6_8,ts_6_9,ts_8_9,ts_mean
1.318272712796362,3.744732539477839,3.7714826002925497,1.0584585659912,2.6176681314586863,5.917270501214964,7.2967845555761315,4.318214929661707,2.531471834571647,6.005954204463181,3.6378986534455233,4.944806288557839,4.9939304410817815,4.801433684475566,4.485915851099255
1.373862242002918,3.746496968350634,3.7716887355349233,1.0458230929906551,2.5989617110269547,5.9047783803827,7.2967845555761315,4.318214929661707,2.4817428074895482,5.950451256829952,3.6115386297443752,4.958500081872725,4.9984732828021015,4.809869943479068,4.468429333702962
1.410551333091607,3.747661490936885,3.7716887355349233,1.0458230929906551,2.5993740019523632,5.879507440844337,7.277884114664777,4.317615022273942,2.4409150931841155,5.89495046608593,3.588161167204369,4.932338674699863,4.973814050531083,4.7956259721912,4.437634237316093
1.4852474434794705,3.7373903575823695,3.790783184045592,1.0345307793723746,2.5995680212639045,5.8676152336270135,7.278078130505745,4.305722805131111,2.4040732876917987,5.820643361303803,3.5525969304931406,4.932338674550939,4.977720251882267,4.781414363239612,4.411464478193594
1.577319924138296,3.752954776980312,3.790989318618317,1.0218953061566542,2.5999803120706155,5.842344292744371,7.296978570739909,4.306322712078406,2.326237910797314,5.746365034109765,3.5155395064247448,4.941776496181706,4.9654033960970665,4.804104913588171,4.383237876199794
1.6522221775780164,3.730048174151336,3.809889759170675,1.0224952026498886,2.6001743313274406,5.830452084364716,7.278078130505745,4.305722805131111,2.3044109598415448,5.6552326639888175,3.462134094188472,4.920120255574964,4.95780806332707,4.775763192282297,4.345911538200528
1.7257943730922254,3.7204850148882977,3.809889759170675,1.0224952026498886,2.600586621709492,5.80518114423841,7.296978570739909,4.306322712078406,2.260800617031098,5.601901388954315,3.4091938350900097,4.929774227951506,4.933203715045827,4.7899176915110795,4.320798579263973
1.7634012379010278,3.733577031341592,3.810095893871891,1.009859729433267,2.6011929313490327,5.768017996232986,7.297184712922991,4.293687231344222,2.2001920282645115,5.562057441682272,3.406992068598701,4.921990452744464,4.909329533114583,4.789917691804103,4.298413202701439
1.78118988859063,3.734141648540979,3.810095893871891,1.009859729433267,2.601799240578065,5.730854846543366,7.297184712922991,4.293687231344222,2.1587643001602,5.544302495471908,3.396788417467824,4.9104068556571745,4.873168958505179,4.789917691804103,4.278891453177732
1.800090328924771,3.734741553209764,3.810289903649549,0.9979675194519078,2.5835051100278417,5.693091787521077,7.297184712922991,4.293687231344222,2.10923549170735,5.5254381670316395,3.3957082386558075,4.917022321547698,4.852751057129709,4.797937455854718,4.266348788654487
1.8363671381895343,3.761177014717487,3.810496037783174,0.985332046097962,2.5843054376894634,5.644036432172693,7.297184712922991,4.293687231344222,2.025974157228715,5.486719941397561,3.406244295704747,4.902517111352473,4.81737168428907,4.806476042704683,4.240883872112875
1.873974004146264,3.774269031227398,3.810496037783174,0.985332046097962,2.567123095976737,5.606308660203544,7.2973908549763795,4.281051750681425,1.9587814747042263,5.447043148590367,3.395333134433807,4.9124066350484075,4.785331873603656,4.79793745658992,4.2161389538283975
1.909850656578416,3.825232167441312,3.810496037783174,0.985332046097962,2.5675353856307064,5.581037719594187,7.2973908549763795,4.281051750681425,1.874940623006352,5.406788407346745,3.4172336127781717,4.905251907931868,4.76082574982583,4.79793745658992,4.193829626246481
1.94593344978272,3.863559834262958,3.810702171485744,0.9726965726433352,2.567935548974705,5.556510041788296,7.2973908549763795,4.281051750681425,1.8035983523388242,5.367717937809029,3.440123948758819,4.898422332120889,4.749296242386049,4.80647604380102,4.1776058095357715
1.9831280330116892,3.9019227910675065,3.810702171485744,0.9726965726433352,2.5494352711207258,5.531382453246463,7.27849041443678,4.280451843639814,1.7250630940933855,5.308874362259226,3.4525922826657007,4.89170624001226,4.729948324449929,4.7923689581202344,4.15009221026679
2.0379051245480024,3.9534858351818647,3.810702171485744,0.9726965726433352,2.54964141566611,5.518746982970036,7.278684429666527,4.268559626180785,1.6467897535576486,5.250241824786078,3.468128313268724,4.891504498141839,4.717716456411932,4.784309167552813,4.1264483356198385
2.074194058555792,3.9791780350495,3.8108961812119255,0.9608043627935308,2.568942020187373,5.494819216460154,7.278684429666527,4.268559626180785,1.5943474327531277,5.212529302389583,3.4823431606041217,4.866763415905754,4.701036144442603,4.792368956850664,4.108231402157642
2.1102768505244613,4.017505704652723,3.8108961812119255,0.9608043627935308,2.569148164805008,5.482183746196528,7.278684429666527,4.268559626180785,1.5348761019867867,5.174501422905184,3.497932132164897,4.863395453253804,4.688796185047094,4.792368956850664,4.091978375368072
2.1289711483328517,4.030741079790633,3.8108961812119255,0.9608043627935308,2.606237417421522,5.458820602716004,7.278684429666527,4.268559626180785,1.5057204971071405,5.155201697407346,3.5004832898604468,4.821667997125045,4.656538717951706,4.792368956850664,4.071996859383725
2.147677575066043,4.04323319323132,3.8111023161715982,0.9481688896694572,2.625137857190496,5.459420513152189,7.278890571242591,4.255924145311452,1.4945082288535638,5.135619169411596,3.513745140516734,4.806851134677782,4.664536730302584,4.792368956292447,4.067938226675785
2.1652600828351125,4.056433280777729,3.8111023161715982,0.9481688896694572,2.6429265074198347,5.45998513622509,7.278890571242591,4.255924145311452,1.4826068339601306,5.117520237087775,3.5171158897690176,4.789773029162858,4.6605922974270335,4.792368956292447,4.05999620728321
