13_x,13_y,5_x,5_y,6_x,6_y,mean_x,mean_y,si_13,si_5,si_6,si_mean
18.023179920080956,6.469486202843513,11.296346466023111,11.499118759609628,16.800332891154117,10.064486600667776,15.37328642575273,9.34436385437364,3.9098410508037835,4.61133474569768,1.5984487430458325,3.3732081798490987
17.929775128112205,6.445948610171184,11.33304337594421,11.53590519788445,16.744748767385317,10.226442285413317,15.335855757147243,9.40276536448965,3.93334247449744,4.535724033484388,1.6319997501102737,3.3670220860307007
17.818579320496898,6.422601687201,11.388645179445652,11.597027643314732,16.651356726741003,10.363520920129291,15.286193742227852,9.461050083548342,3.9553944650680273,4.444466777361619,1.636497352629687,3.345452865019778
17.6895894641651,6.3615221387944825,11.444245042756071,11.633611514088985,16.63357944444174,10.536968956250572,15.255804650454303,9.510700869711346,3.9800295474667573,4.362881644859115,1.7179899791314284,3.3536337238190996
17.522792747066173,6.288950261059561,11.4631509362181,11.6705886064818,16.55909335284897,10.711768299568316,15.181679012044413,9.55710238903656,4.020153212491798,4.277180735255354,1.7973657477536895,3.3648998985002803
17.355997041353877,6.229019485484094,11.444251920451793,11.720611921497024,16.540209009281835,10.94694654053482,15.1134859903625,9.632192649171978,4.075591171335007,4.2219395681146565,1.9401330798602534,3.4125546064366383
17.20699330295998,6.180795547587718,11.407560890130974,11.75818480350609,16.44793383321818,11.146475129052252,15.020829342103044,9.695151826715353,4.138841978185869,4.1607468042819775,2.0354278558738144,3.445005546113887
17.022410567520684,6.170876243346522,11.35196790511012,11.80860133928124,16.37345060636329,11.357710558877102,14.915943026331362,9.779062713834955,4.1780635595811555,4.1013346238587225,2.1485942763832204,3.4759974866076995
16.855617776226648,6.147381579423514,11.25856701227308,11.834140840192672,16.281172476470505,11.520059441964872,14.798452421656743,9.83386062052702,4.221617819810096,4.065945113839218,2.245378637638946,3.510980523762754
16.688824032299227,6.111989414433372,11.166277118793792,11.84777093337787,16.188893341941693,11.669767224205886,14.681331497678237,9.876509190672374,4.266337471679139,4.030071977616407,2.3427584359279368,3.546389295074494
16.484228366976637,6.126823215299159,11.110683133514929,11.885546380963724,16.133310114443642,11.84362037936308,14.57607387164507,9.951996658541987,4.2746936087799625,3.9683179682323018,2.4501479581973102,3.5643865117365245
16.317437599423307,6.128610746175667,11.091782119453605,11.910287525356631,16.022132951234177,12.05599260073022,14.477117556703696,10.031630290754173,4.3151291319029275,3.87167263954811,2.546588960038061,3.577796910496366
16.169547819346963,6.105657093637351,11.110687011774452,11.93462353160698,15.947648693827745,12.25458690889077,14.409294508316387,10.098289178045034,4.363439317835845,3.775305984197099,2.648802277281334,3.5958491931047596
16.002758003635066,6.119342126234316,11.129591963418925,11.959703131866378,15.928760412730083,12.440687928439438,14.353703459928026,10.173244395513377,4.376471694982929,3.6859638846052354,2.7608159264207237,3.607750502002963
15.89156118142241,6.083354123625773,11.091784057566487,11.934826099563177,15.83648618246383,12.652857566931903,14.273277140484241,10.223679263373617,4.445349873742581,3.6124675405676734,2.888689969416077,3.6488357945754437
15.780364360722444,6.047366122583653,11.036184196140985,11.898242228109632,15.72530699663611,12.839947573585244,14.180618517833182,10.261851974759509,4.507890610921246,3.544748265349057,3.0054349790389963,3.686024618436433
15.650270536517343,6.085940086975884,10.980584335209688,11.861658357405904,15.633026832141084,12.977014227004062,14.087960567956038,10.308204223795284,4.502035859357109,3.4740476100751443,3.083792566621492,3.6866253453512488
15.557983630672297,6.136749969740038,10.9627913796168,11.837310435383122,15.595228719337092,13.076317326999693,14.038667909875395,10.350125910707618,4.478934815264122,3.416538341630306,3.1392676202924528,3.67824692572896
15.465694703547168,6.16227766402502,10.94388448834408,11.787692261482404,15.50294954445319,13.2260250667619,13.970842912114811,10.391998330756442,4.48610285179948,3.3332324922666094,3.2216545862722468,3.6803299767794453
15.372295858218711,6.213099460770365,10.9438854879483,11.800333345760638,15.410670366899662,13.375732802176548,13.908950571022226,10.463055202902517,4.494830724247824,3.2526794767130456,3.2770189414531776,3.6748430474713487
15.31670488408175,6.288054675900675,10.962788441383992,11.800130777290232,15.391777190679964,13.50011551957306,13.890423505381904,10.529433657587989,4.474770858661351,3.191507204749761,3.328515226566517,3.6649310966592097
15.280019834402728,6.399986989880294,10.962788441383992,11.800130777290232,15.372883018091564,13.611857143727343,13.871897097959428,10.603991636965956,4.433561177383978,3.145419211929919,3.36157903955862,3.6468531429575055
15.224431831314648,6.51212188799302,10.999477532700196,11.738019323806904,15.35510663321594,13.797946226363235,13.859671999076928,10.682695812721052,4.388195102922261,3.0486751382432753,3.4555911049602313,3.630820448708589
15.168841863244776,6.599718191385077,11.036170502539202,11.724985018074076,15.336217307913302,13.971406128203476,13.847076557899094,10.765369779220876,4.37032226199104,2.9701943132896527,3.534997771477453,3.625171448919382
15.149944853428629,6.674280147132428,11.091767426352556,11.724389228870486,15.336235842411227,14.207125343441716,13.859316040730803,10.868598239814878,4.388396859306271,2.8968437220353698,3.650623963413206,3.6452881815849487
15.149950796483832,6.748639517561786,11.18517513520822,11.785106536258652,15.391843460056483,14.342607233415585,13.908989797249513,10.958784429078674,4.3892259428733205,2.8463967639746706,3.694470429770762,3.6433643788729175
15.224463506477152,6.908457337153406,11.296371921739183,11.82109461919181,15.391854210023771,14.479428482219838,13.970896546080036,11.06966014618835,4.345922104930042,2.7780813043220256,3.694000648094608,3.6060013524488923
15.316770256176005,7.106007773643016,11.463164689770874,11.84458942239234,15.447467661062069,14.689269752265934,14.075800869002983,11.213288982767097,4.2906600833350055,2.687825896538609,3.736831826342122,3.571772602071912
