12_x,12_y,6_x,6_y,8_x,8_y,9_x,9_y,mean_x,mean_y,si_12,si_6,si_8,si_9,si_mean
1.318272712796362,3.744732539477839,2.6176681314586863,5.917270501214964,7.2967845555761315,4.318214929661707,3.7714826002925497,1.0584585659912,3.751052000030932,3.7596691340864274,2.432825140090435,2.437171034821873,3.589455775073418,2.7012878303906067,2.7901849450940834
1.373862242002918,3.746496968350634,2.5989617110269547,5.9047783803827,7.2967845555761315,4.318214929661707,3.7716887355349233,1.0458230929906551,3.760324311035232,3.753828342846424,2.386473330247374,2.444452730709942,3.581212543342727,2.7080290957429933,2.7800419250107593
1.410551333091607,3.747661490936885,2.5993740019523632,5.879507440844337,7.277884114664777,4.317615022273942,3.7716887355349233,1.0458230929906551,3.7648745463109172,3.747651761761455,2.3543232132394127,2.4296502125487165,3.55894567894479,2.7018372616733553,2.761189091601569
1.4852474434794705,3.7373903575823695,2.5995680212639045,5.8676152336270135,7.278078130505745,4.305722805131111,3.790783184045592,1.0345307793723746,3.788419194823678,3.7363147939282175,2.303172002484208,2.440452555804913,3.53580895561507,2.701785048769522,2.7453046406684285
1.577319924138296,3.752954776980312,2.5999803120706155,5.842344292744371,7.296978570739909,4.306322712078406,3.790989318618317,1.0218953061566542,3.8163170313917845,3.7308792719899353,2.239105931886669,2.4367518438771136,3.52790871540607,2.709102364285289,2.7282172138637857
1.6522221775780164,3.730048174151336,2.6001743313274406,5.830452084364716,7.278078130505745,4.305722805131111,3.809889759170675,1.0224952026498886,3.8350910996454695,3.722179566574263,2.1828831040422494,2.4433240542227592,3.492088544973834,2.6998019876241814,2.704524422715756
1.7257943730922254,3.7204850148882977,2.600586621709492,5.80518114423841,7.296978570739909,4.306322712078406,3.809889759170675,1.0224952026498886,3.8583123311780754,3.7136210184637504,2.132529004727851,2.440593722844661,3.489372551722731,2.6915614245303106,2.6885141759563886
1.7634012379010278,3.733577031341592,2.6011929313490327,5.768017996232986,7.297184712922991,4.293687231344222,3.810095893871891,1.009859729433267,3.867968694011236,3.7012854970880165,2.104815174903165,2.424067667349742,3.4800089538837033,2.692047905181467,2.6752349253295193
1.78118988859063,3.734141648540979,2.601799240578065,5.730854846543366,7.297184712922991,4.293687231344222,3.810095893871891,1.009859729433267,3.8725674339908944,3.6921358639654582,2.091799350641031,2.40233779708708,3.4770486845535453,2.683003532462415,2.6635473411860175
1.800090328924771,3.734741553209764,2.5835051100278417,5.693091787521077,7.297184712922991,4.293687231344222,3.810289903649549,0.9979675194519078,3.8727675138812883,3.6798720228817428,2.0734033323011927,2.3906591908351182,3.4789944327682476,2.6826321434921896,2.656422274849187
1.8363671381895343,3.761177014717487,2.5843054376894634,5.644036432172693,7.297184712922991,4.293687231344222,3.810496037783174,0.985332046097962,3.882088331646291,3.671058181083091,2.0477052047435347,2.361542635465119,3.4713902442160394,2.6866801686621993,2.641829563271723
1.873974004146264,3.774269031227398,2.567123095976737,5.606308660203544,7.2973908549763795,4.281051750681425,3.810496037783174,0.985332046097962,3.8872459982206387,3.6617403720525825,2.0164143476130816,2.350334083553064,3.465924772374148,2.6775085590276584,2.6275454406419883
1.909850656578416,3.825232167441312,2.5675353856307064,5.581037719594187,7.2973908549763795,4.281051750681425,3.810496037783174,0.985332046097962,3.896318233742169,3.6681634209537215,1.9926675654122579,2.3291096882359286,3.4558540304279863,2.6842037246136274,2.61545875217245
1.94593344978272,3.863559834262958,2.567935548974705,5.556510041788296,7.2973908549763795,4.281051750681425,3.810702171485744,0.9726965726433352,3.9054905063048873,3.6684545498440033,1.9692460307879311,2.3138294674715225,3.4467757840903483,2.6974239377707807,2.6068188050301457
1.9831280330116892,3.9019227910675065,2.5494352711207258,5.531382453246463,7.27849041443678,4.280451843639814,3.810702171485744,0.9726965726433352,3.9054389725137346,3.6716134151492796,1.9360583040717239,2.3016270143653736,3.4275589363081647,2.700579046099424,2.5914558252111717
2.0379051245480024,3.9534858351818647,2.54964141566611,5.518746982970036,7.278684429666527,4.268559626180785,3.810702171485744,0.9726965726433352,3.919233285341596,3.6783722542440054,1.9013371955051679,2.2940708427628396,3.4108991666567534,2.707851527813156,2.5785396831844793
2.074194058555792,3.9791780350495,2.568942020187373,5.494819216460154,7.278684429666527,4.268559626180785,3.8108961812119255,0.9608043627935308,3.933179172405404,3.675840310120993,1.8835709248338004,2.2737254164033915,3.397605276366312,2.717788315011961,2.568172483153866
2.1102768505244613,4.017505704652723,2.569148164805008,5.482183746196528,7.278684429666527,4.268559626180785,3.8108961812119255,0.9608043627935308,3.9422514065519807,3.6822633599558916,1.8623958235590132,2.263874093076001,3.3875549633206727,2.724627179718374,2.559613014918515
2.1289711483328517,4.030741079790633,2.606237417421522,5.458820602716004,7.278684429666527,4.268559626180785,3.8108961812119255,0.9608043627935308,3.956197294158206,3.6797314178702383,1.8606351525082099,2.233282336927889,3.3742613153874874,2.722806776885118,2.547746395427176
2.147677575066043,4.04323319323132,2.625137857190496,5.459420513152189,7.278890571242591,4.255924145311452,3.8111023161715982,0.9481688896694572,3.9657020799176825,3.6766866853411044,1.8546076249944516,2.2305273672560277,3.363440799847787,2.7328941524045915,2.5453674861257145
2.1652600828351125,4.056433280777729,2.6429265074198347,5.45998513622509,7.278890571242591,4.255924145311452,3.8111023161715982,0.9481688896694572,3.974544869417284,3.680127862995932,1.8480035731593232,2.2228583794464964,3.3541380227861457,2.7368436747740117,2.5404609125414943
