10_x,10_y,3_x,3_y,4_x,4_y,5_x,5_y,mean_x,mean_y,si_10,si_3,si_4,si_5,si_mean
8.906750641929504,3.3408497406822897,12.422039428765943,6.05519763424079,13.346932032708573,1.65984130675678,13.04443806344428,4.314735282898323,11.930040041712076,3.8426559911445457,3.064651417019667,2.266584196383715,2.6023571738961735,1.2102651810836333,2.2859644920957973
8.906750641929504,3.3408497406822897,12.422039428765943,6.05519763424079,13.32823772880117,1.6466059149528758,13.043831763820869,4.351898498928706,11.925214890829372,3.8486379472011656,3.0608781884561003,2.261800228571103,2.611018604858643,1.2266111410982632,2.2900770407460276
8.9258572217432,3.328814159781939,12.404250778727056,6.054633011465161,13.328031592649396,1.659241409158303,13.043419481028552,4.377169486231251,11.92538976853705,3.8549645166591637,3.0453291607505464,2.251188431500632,2.605494972469232,1.233972636754809,2.2839963003688046
8.906750641929504,3.3408497406822897,12.385350338526496,6.054033099066307,13.327825457019271,1.6718769035633,13.043019323393732,4.401697209034577,11.915736440217252,3.8671142380866184,3.054660350272283,2.236772522630297,2.6101843510100844,1.2476159872052877,2.287308302779488
8.9258572217432,3.328814159781939,12.385350338526496,6.054033099066307,13.30984279745644,1.6832045238929827,13.04261916525152,4.4262249316980125,11.915917380744414,3.87306917860981,3.039189576180744,2.230912576544631,2.5958688860059644,1.2551646100755356,2.280283912201719
8.926051235685307,3.316921939253922,12.385350338526496,6.054033099066307,13.30963666159997,1.6958400181034785,13.042413023403295,4.438860425243728,11.915862814803766,3.876413870416859,3.041710785013468,2.227654380714189,2.5879543777674883,1.2591511027403566,2.2791176615588755
8.926051235685307,3.316921939253922,12.385556484095764,6.0413976070837885,13.327219175730452,1.7090401219642024,13.042206881959295,4.451495918936155,11.920258444367706,3.879713896809517,3.046639393826401,2.211193960067708,2.5867669273434752,1.2592469882598234,2.275961817374352
8.926051235685307,3.316921939253922,12.385556484095764,6.0413976070837885,13.327025165051628,1.7209323518620123,13.042206881959295,4.451495918936155,11.920209941698,3.8826869542839697,3.0471423348809212,2.2082977804256774,2.579207636804768,1.2579430719330669,2.273147706011108
8.926051235685307,3.316921939253922,12.404456924488168,6.041997519533451,13.326819029144213,1.733567846112883,13.023512583608158,4.438260518265838,11.92020994323146,3.882686955791524,3.047142336667627,2.212943119364733,2.568513591195932,1.2352889134055205,2.2659719901584534
8.926051235685307,3.316921939253922,12.404650943543192,6.03010529153798,13.32661289298506,1.7462033403335413,13.023912742048331,4.413732795770056,11.920306953565472,3.8767408417238745,3.0461392790909487,2.207162783836014,2.5528193120699654,1.227316623811154,2.2583594997020207
8.926051235685307,3.316921939253922,12.404857088449251,6.017469799215483,13.3453193223944,1.7586954681703868,13.005424583666692,4.387861902088619,11.920413057548913,3.8702372771821025,3.045055103511414,2.2012027445814257,2.547345024687545,1.2021585852615464,2.248940364510483
8.926051235685307,3.316921939253922,12.405063233966237,6.00483430720244,13.326212747146046,1.7707310645951404,13.006224898359266,4.338806456814527,11.915888028789213,3.8578234419665076,3.038371024913611,2.2020327056610967,2.5189224686142975,1.1917126959616193,2.237759723787656
8.926257375538347,3.3042864548996724,12.40525725238082,5.9929420790667685,13.308424095965265,1.7701664545958675,12.970142108792745,4.3004787166869125,11.902520208169294,3.8419684263123055,3.024440832828866,2.208943682049504,2.503782968175945,1.1619157495577013,2.224770808153004
8.945157813925206,3.304886358024937,12.3863568134059,5.992342167467951,13.308217960931213,1.7828019489345437,12.970954549205588,4.250680007490667,11.902671784366976,3.832677620479525,3.0042390887014387,2.2131656428824096,2.4854678278437508,1.1471504091435618,2.21250574214279
8.945157813925206,3.304886358024937,12.38656295849931,5.979706675316725,13.30802394972679,1.7946941786049948,12.952660408033562,4.212916885892125,11.898101282546218,3.823051024459696,2.9980609984476527,2.2112798116132795,2.4702456196814135,1.1243177215801068,2.200976037830613
8.945157813925206,3.304886358024937,12.38656295849931,5.979706675316725,13.30781781467807,1.807329672949276,12.9356841978584,4.1625535593027205,11.893805696240248,3.813619066398415,2.992212108532748,2.2214286504451337,2.454511642130779,1.0987566120267356,2.1917272532838488
8.945157813925206,3.304886358024937,12.367662518559122,5.97910676345321,13.30781781467807,1.807329672949276,12.916783757617702,4.161953653408686,11.884355476195024,3.8133191119590273,2.982848766391847,2.2190587753737887,2.459723289010022,1.0897037210972527,2.1878336379682275
8.945157813925206,3.304886358024937,12.367868663882431,5.966471271467786,13.307611678555723,1.819965167151603,12.879888526547507,4.173424623366914,11.875131670727718,3.81618685500281,2.9742520067667444,2.206017410655517,2.457010378462908,1.0663747758000626,2.1759136429213077
8.945157813925206,3.304886358024937,12.350274034350411,5.954014420737065,13.307417668492262,1.8318573971174923,12.841481348752954,4.20938802671299,11.86108271638021,3.8250365506481208,2.961954466166412,2.1844575795620016,2.4626505906786784,1.0530467869527875,2.16552735583997
8.945157813925206,3.304886358024937,12.350274034350411,5.954014420737065,13.307417668492262,1.8318573971174923,12.803979820049909,4.258022211057376,11.851707334204448,3.8371950967342174,2.954891319006802,2.1747397097046592,2.4779975518261588,1.041113993493436,2.162185643507764
8.945157813925206,3.304886358024937,12.33117957311766,5.96530673612069,13.307417668492262,1.8318573971174923,12.74799013253286,4.280785502384075,11.832936297016998,3.8457089984117987,2.937984631641722,2.1773701871478286,2.4959354131994718,1.0132201568272465,2.156127597204067
8.945363953864236,3.292250873669811,12.349873869405958,5.978542140216611,13.307211531892657,1.844492891259768,12.710900886026948,4.304148699909332,11.828337560297449,3.8548586512638807,2.9373566904276136,2.1867856966262074,2.495724085883433,0.9903431585741109,2.1525524078778413
