12_x,12_y,9_x,9_y,6_x,6_y,8_x,8_y,width_orange,length_orange,min_x_orange,max_x_orange,min_y_orange,max_y_orange
1.318272712796362,3.744732539477839,3.7714826002925497,1.0584585659912,2.6176681314586863,5.917270501214964,7.2967845555761315,4.318214929661707,5.97851184277977,4.858811935223764,1.318272712796362,7.2967845555761315,1.0584585659912,5.917270501214964
1.373862242002918,3.746496968350634,3.7716887355349233,1.0458230929906551,2.5989617110269543,5.9047783803827,7.2967845555761315,4.318214929661707,5.922922313573213,4.858955287392044,1.373862242002918,7.2967845555761315,1.0458230929906551,5.9047783803827
1.410551333091607,3.747661490936885,3.7716887355349233,1.0458230929906551,2.5993740019523632,5.879507440844337,7.277884114664777,4.317615022273942,5.86733278157317,4.833684347853682,1.410551333091607,7.277884114664777,1.0458230929906551,5.879507440844337
1.4852474434794705,3.7373903575823695,3.790783184045592,1.0345307793723746,2.5995680212639045,5.8676152336270135,7.278078130505745,4.305722805131111,5.7928306870262745,4.833084454254639,1.4852474434794705,7.278078130505745,1.0345307793723746,5.8676152336270135
1.577319924138296,3.752954776980312,3.790989318618317,1.0218953061566545,2.5999803120706155,5.842344292744371,7.296978570739909,4.306322712078406,5.719658646601613,4.820448986587716,1.577319924138296,7.296978570739909,1.0218953061566545,5.842344292744371
1.6522221775780164,3.730048174151336,3.809889759170675,1.0224952026498886,2.6001743313274406,5.830452084364716,7.278078130505745,4.305722805131111,5.625855952927728,4.807956881714828,1.6522221775780164,7.278078130505745,1.0224952026498886,5.830452084364716
1.7257943730922254,3.7204850148882977,3.809889759170675,1.0224952026498886,2.6005866217094926,5.80518114423841,7.296978570739909,4.306322712078406,5.571184197647684,4.782685941588522,1.7257943730922254,7.296978570739909,1.0224952026498886,5.80518114423841
1.7634012379010278,3.733577031341592,3.810095893871891,1.0098597294332672,2.6011929313490327,5.768017996232986,7.297184712922991,4.293687231344222,5.533783475021964,4.758158266799719,1.7634012379010278,7.297184712922991,1.0098597294332672,5.768017996232986
1.78118988859063,3.734141648540979,3.810095893871891,1.0098597294332672,2.601799240578065,5.730854846543366,7.297184712922991,4.293687231344222,5.5159948243323615,4.720995117110099,1.78118988859063,7.297184712922991,1.0098597294332672,5.730854846543366
1.800090328924771,3.734741553209764,3.810289903649549,0.9979675194519078,2.583505110027842,5.693091787521077,7.297184712922991,4.293687231344222,5.4970943839982205,4.6951242680691685,1.800090328924771,7.297184712922991,0.9979675194519078,5.693091787521077
1.8363671381895343,3.761177014717487,3.8104960377831754,0.985332046097962,2.5843054376894634,5.644036432172693,7.297184712922991,4.293687231344222,5.460817574733457,4.6587043860747315,1.8363671381895343,7.297184712922991,0.985332046097962,5.644036432172693
1.873974004146264,3.774269031227398,3.8104960377831754,0.985332046097962,2.5671230959767364,5.606308660203544,7.2973908549763795,4.281051750681425,5.423416850830115,4.620976614105581,1.873974004146264,7.2973908549763795,0.985332046097962,5.606308660203544
1.909850656578416,3.825232167441312,3.8104960377831754,0.985332046097962,2.5675353856307064,5.581037719594187,7.2973908549763795,4.281051750681425,5.387540198397963,4.595705673496225,1.909850656578416,7.2973908549763795,0.985332046097962,5.581037719594187
1.94593344978272,3.863559834262958,3.8107021714857447,0.9726965726433352,2.567935548974705,5.556510041788296,7.2973908549763795,4.281051750681425,5.35145740519366,4.58381346914496,1.94593344978272,7.2973908549763795,0.9726965726433352,5.556510041788296
1.9831280330116896,3.9019227910675065,3.8107021714857447,0.9726965726433352,2.5494352711207253,5.531382453246463,7.278490414436779,4.280451843639814,5.29536238142509,4.558685880603128,1.9831280330116896,7.278490414436779,0.9726965726433352,5.531382453246463
2.037905124548002,3.9534858351818647,3.8107021714857447,0.9726965726433352,2.54964141566611,5.518746982970036,7.278684429666527,4.268559626180785,5.240779305118526,4.546050410326701,2.037905124548002,7.278684429666527,0.9726965726433352,5.518746982970036
2.074194058555792,3.9791780350495,3.8108961812119255,0.9608043627935308,2.568942020187373,5.494819216460154,7.278684429666527,4.268559626180785,5.204490371110735,4.534014853666624,2.074194058555792,7.278684429666527,0.9608043627935308,5.494819216460154
2.1102768505244613,4.017505704652723,3.8108961812119255,0.9608043627935308,2.569148164805008,5.482183746196528,7.278684429666527,4.268559626180785,5.168407579142066,4.521379383402997,2.1102768505244613,7.278684429666527,0.9608043627935308,5.482183746196528
2.1289711483328517,4.030741079790633,3.8108961812119255,0.9608043627935308,2.6062374174215224,5.458820602716004,7.278684429666527,4.268559626180785,5.149713281333676,4.498016239922473,2.1289711483328517,7.278684429666527,0.9608043627935308,5.458820602716004
2.147677575066043,4.04323319323132,3.8111023161715982,0.9481688896694572,2.625137857190496,5.459420513152189,7.278890571242592,4.255924145311452,5.131212996176549,4.511251623482732,2.147677575066043,7.278890571242592,0.9481688896694572,5.459420513152189
2.165260082835113,4.056433280777729,3.8111023161715982,0.9481688896694572,2.6429265074198347,5.4599851362250895,7.278890571242592,4.255924145311452,5.1136304884074795,4.511816246555632,2.165260082835113,7.278890571242592,0.9481688896694572,5.4599851362250895
2.2032671048830754,4.044997624621129,3.8111023161715982,0.9481688896694572,2.6614267831999525,5.485112725121992,7.278890571242592,4.255924145311452,5.0756234663595166,4.536943835452535,2.2032671048830754,7.278890571242592,0.9481688896694572,5.485112725121992
2.258856635061562,4.0467620570705485,3.8111023161715982,0.9481688896694572,2.661026620069725,5.50964040317205,7.278890571242592,4.255924145311452,5.02003393618103,4.5614715135025925,2.258856635061562,7.278890571242592,0.9481688896694572,5.50964040317205
