12_x,12_y,9_x,9_y,6_x,6_y,8_x,8_y,area
1.318272712796362,3.744732539477839,3.7714826002925497,1.0584585659912,2.6176681314586863,5.917270501214964,7.2967845555761315,4.318214929661707,14.85507848799527
1.373862242002918,3.746496968350634,3.7716887355349233,1.0458230929906551,2.5989617110269547,5.9047783803827,7.2967845555761315,4.318214929661707,14.724841897987492
1.410551333091607,3.747661490936885,3.7716887355349233,1.0458230929906551,2.5993740019523632,5.879507440844337,7.277884114664777,4.317615022273942,14.514499776091439
1.4852474434794705,3.7373903575823695,3.790783184045592,1.0345307793723746,2.5995680212639045,5.8676152336270135,7.278078130505745,4.305722805131111,14.337123084308399
1.577319924138296,3.752954776980312,3.790989318618317,1.0218953061566542,2.5999803120706155,5.842344292744371,7.296978570739909,4.306322712078406,14.11519446063747
1.6522221775780164,3.730048174151336,3.809889759170675,1.0224952026498886,2.6001743313274406,5.830452084364716,7.278078130505745,4.305722805131111,13.872637663464698
1.7257943730922254,3.7204850148882977,3.809889759170675,1.0224952026498886,2.600586621709492,5.80518114423841,7.296978570739909,4.306322712078406,13.67683985267237
1.7634012379010278,3.733577031341592,3.810095893871891,1.009859729433267,2.6011929313490327,5.768017996232986,7.297184712922991,4.293687231344222,13.503868234238936
1.78118988859063,3.734141648540979,3.810095893871891,1.009859729433267,2.601799240578065,5.730854846543366,7.297184712922991,4.293687231344222,13.358540843372076
1.800090328924771,3.734741553209764,3.810289903649549,0.9979675194519078,2.5835051100278417,5.693091787521077,7.297184712922991,4.293687231344222,13.247623652286356
1.8363671381895343,3.761177014717487,3.810496037783174,0.985332046097962,2.5843054376894634,5.644036432172693,7.297184712922991,4.293687231344222,13.046646904523149
1.873974004146264,3.774269031227398,3.810496037783174,0.985332046097962,2.567123095976737,5.606308660203544,7.2973908549763795,4.281051750681425,12.845801178488163
1.909850656578416,3.825232167441312,3.810496037783174,0.985332046097962,2.5675353856307064,5.581037719594187,7.2973908549763795,4.281051750681425,12.663057431207246
1.94593344978272,3.863559834262958,3.810702171485744,0.9726965726433352,2.567935548974705,5.556510041788296,7.2973908549763795,4.281051750681425,12.524463776187638
1.9831280330116892,3.9019227910675065,3.810702171485744,0.9726965726433352,2.5494352711207258,5.531382453246463,7.27849041443678,4.280451843639814,12.308659942857751
2.0379051245480024,3.9534858351818647,3.810702171485744,0.9726965726433352,2.54964141566611,5.518746982970036,7.278684429666527,4.268559626180785,12.111087051740906
2.074194058555792,3.9791780350495,3.8108961812119255,0.9608043627935308,2.568942020187373,5.494819216460154,7.278684429666527,4.268559626180785,11.9783176598052
2.1102768505244613,4.017505704652723,3.8108961812119255,0.9608043627935308,2.569148164805008,5.482183746196528,7.278684429666527,4.268559626180785,11.84003859121269
2.1289711483328517,4.030741079790633,3.8108961812119255,0.9608043627935308,2.606237417421522,5.458820602716004,7.278684429666527,4.268559626180785,11.724992083242054
2.147677575066043,4.04323319323132,3.8111023161715982,0.9481688896694572,2.625137857190496,5.459420513152189,7.278890571242591,4.255924145311452,11.700218434675516
2.1652600828351125,4.056433280777729,3.8111023161715982,0.9481688896694572,2.6429265074198347,5.45998513622509,7.278890571242591,4.255924145311452,11.652400759247175
2.2032671048830754,4.044997624621129,3.8111023161715982,0.9481688896694572,2.6614267831999525,5.485112725121992,7.278890571242591,4.255924145311452,11.635157828435261
2.258856635061562,4.0467620570705485,3.8111023161715982,0.9481688896694572,2.661026620069725,5.50964040317205,7.278890571242591,4.255924145311452,11.569647015468917
2.314846322584067,4.023998810813098,3.8111023161715982,0.9481688896694572,2.679114609308417,5.560038934091351,7.279096713639078,4.243288664936269,11.57135554531176
2.3886246603843144,4.001800183142495,3.792408010135717,0.9349335202382612,2.734303975121486,5.58633105777808,7.279096713639078,4.243288664936269,11.501524801455979
2.4824273546382534,3.979493485831117,3.8113084502579184,0.93553341633403,2.7896873620149183,5.600730974933693,7.297997153673856,4.243888571558662,11.36784803246712
2.57510613030201,3.95789476200885,3.811502459315705,0.9236412061962394,2.862665377323376,5.627587723002265,7.316691452328702,4.257123959234053,11.294041759014053
2.6310958178915382,3.935131514250997,3.811502459315705,0.9236412061962394,2.917842618054946,5.654623111537905,7.334686243816202,4.245053096666691,11.264782833666391
2.667991049492644,3.923660567951929,3.811502459315705,0.9236412061962394,2.9923325885909384,5.656987470402512,7.335292542308244,4.207889917186736,11.162393102105966
2.6681971903017496,3.911025097970258,3.811502459315705,0.9236412061962394,3.0479221188538586,5.658751916610019,7.33589884061962,4.17072673773822,11.150193571974373
2.6872916446204678,3.899732796589467,3.829097100943879,0.9360980245976396,3.103511649863986,5.660516363353786,7.354993295239557,4.159434426650053,11.120305501210424
2.706192086127459,3.900332702175093,3.84779140669422,0.9493333941157324,3.1593073244044336,5.649645338233659,7.374099878651157,4.1473988524974725,11.05536193150493
2.7239807356359464,3.900897319672797,3.847391263011704,0.9738610775046336,3.2337972943273847,5.652009696460447,7.391888527386522,4.147963470077735,10.994382344572779
2.761781615971492,3.902097131978549,3.865685425579796,1.011624130733054,3.2899931335589887,5.616610990649467,7.392094669395174,4.135327989351004,10.728399987583114
2.7984707075070063,3.903261655570912,3.882867796033626,1.0493518962044703,3.382878061426376,5.582376817662039,7.392094669395174,4.135327989351004,10.469521341840853
2.8540602379458155,3.9050260857129215,3.9200623981928016,1.0877148465031825,3.4757629902671145,5.548142643875763,7.392094669395174,4.135327989351004,10.171948961450575
2.9096497683032743,3.9067905148034554,3.95614520956824,1.1260425092633368,3.550653123345485,5.525979318643654,7.374306020639443,4.134763371799093,9.868323287634603
