6_x,6_y,9_x,9_y,12_x,12_y,8_x,8_y,width_blue,length_blue,min_x_blue,max_x_blue,min_y_blue,max_y_blue
13.31469295718695,6.837821018345534,16.84325000619203,5.055153171933444,17.484513202178487,9.946379755122438,17.364445003394785,8.484411198212932,4.169820244991538,4.891226583188994,13.31469295718695,17.484513202178487,5.055153171933444,9.946379755122438
13.31469295718695,6.837821018345534,16.76844911501843,5.005820400462634,17.392824178174028,10.04588773255434,17.328054064801982,8.534474884732214,4.078131220987078,5.040067332091706,13.31469295718695,17.392824178174028,5.005820400462634,10.04588773255434
13.31469295718695,6.837821018345534,16.712704279988515,4.981646429179572,17.300027746452074,10.146146633852908,17.272607083957737,8.559379756716323,3.9853347892651243,5.1645002046733355,13.31469295718695,17.300027746452074,4.981646429179572,10.146146633852908
13.295718143796012,6.826047368902151,16.675708600349626,4.932065141988955,17.20826200655409,10.233013074840542,17.217164617912065,8.585028247867312,3.9214464741160526,5.300947932851587,13.295718143796012,17.217164617912065,4.932065141988955,10.233013074840542
13.295718143796012,6.826047368902151,16.638640709483663,4.870585946461006,17.11672640192364,10.357804101777338,17.16156871739184,8.585393679557374,3.8658505735958286,5.487218155316333,13.295718143796012,17.16156871739184,4.870585946461006,10.357804101777338
13.295718143796012,6.826047368902151,16.6003841735783,4.796472532800258,17.04298148339139,10.482478192607958,17.10597281660553,8.585759110576651,3.810254672809517,5.686005659807701,13.295718143796012,17.10597281660553,4.796472532800258,10.482478192607958
13.295718143796012,6.826047368902151,16.58206543813867,4.709586023080809,16.951292449963244,10.581986153551147,17.0683932412878,8.623188573007148,3.7726750974917884,5.872400130470338,13.295718143796012,17.0683932412878,4.709586023080809,10.581986153551147
13.295718143796012,6.826047368902151,16.54388562616914,4.648114139268657,16.858265871513808,10.644320451613728,17.012946262123258,8.648093443659905,3.7172281183272453,5.9962063123450715,13.295718143796012,17.012946262123258,4.648114139268657,10.644320451613728
13.295641423431842,6.8134058478972594,16.543659963029302,4.610933173648848,16.76642792535855,10.719288968592425,16.95772491812418,8.710179281571518,3.662083494692336,6.108355794943576,13.295641423431842,16.95772491812418,4.610933173648848,10.719288968592425
13.295641423431842,6.8134058478972594,16.562485844445227,4.598167385739314,16.69223175336667,10.76960111418332,16.902580290029533,8.784906647498195,3.606938866597691,6.171433728444006,13.295641423431842,16.902580290029533,4.598167385739314,10.76960111418332
13.295641423431842,6.8134058478972594,16.599179137682174,4.597926175412231,16.600317093307687,10.831928099123688,16.82972168861891,8.872392478104414,3.534080265187068,6.234001923711458,13.295641423431842,16.82972168861891,4.597926175412231,10.831928099123688
13.295641423431842,6.8134058478972594,16.67382658122105,4.621975882857927,16.526197630604663,10.894881769615733,16.77457705861651,8.947119840778937,3.478935635184669,6.272905886757806,13.295641423431842,16.77457705861651,4.621975882857927,10.894881769615733
13.295641423431842,6.8134058478972594,16.729724869527576,4.671432908079263,16.43428296776985,10.957208749703463,16.70038090278156,8.99743200973772,3.434083446095734,6.285775841624201,13.295641423431842,16.729724869527576,4.671432908079263,10.957208749703463
13.295641423431842,6.8134058478972594,16.82238866150052,4.732546634322242,16.360158993881857,11.019418797965402,16.626108029688798,9.035102648490945,3.526747238068676,6.28687216364316,13.295641423431842,16.82238866150052,4.732546634322242,11.019418797965402
13.295641423431842,6.8134058478972594,16.916241098178105,4.80629458231938,16.287377069207377,11.119546119497652,16.57066104879078,9.060007512936416,3.6205996747462628,6.313251537178273,13.295641423431842,16.916241098178105,4.80629458231938,11.119546119497652
13.295564702219377,6.800764326472705,16.989930072092214,4.8556346616897095,16.21332980264389,11.194397691395464,16.51506514727005,9.060372939740304,3.6943653698728376,6.3387630297057544,13.295564702219377,16.989930072092214,4.8556346616897095,11.194397691395464
13.295641423431842,6.8134058478972594,17.08348011961724,4.879560115204159,16.158031721741065,11.243841969046304,16.441678560480952,9.06085530359392,3.7878386961853963,6.3642818538421455,13.295641423431842,17.08348011961724,4.879560115204159,11.243841969046304
13.25879920082912,6.789107621209411,17.156943433074552,4.891719227829444,16.083912255254983,11.306795629139634,16.386231577891305,9.085760166797272,3.898144232245432,6.4150764013101895,13.25879920082912,17.156943433074552,4.891719227829444,11.306795629139634
13.239819873761745,6.776590352927386,17.231518664068382,4.9038710312621205,16.010751286666242,11.344458926041408,16.31188650235594,9.111532893938923,3.9916987903066374,6.440587894779288,13.239819873761745,17.231518664068382,4.9038710312621205,11.344458926041408
13.220917267727806,6.776714605502696,17.287114563484412,4.90350556391489,15.936550596731124,11.394027438054245,16.237613630407424,9.149203529173963,4.066197295756606,6.490521874139355,13.220917267727806,17.287114563484412,4.90350556391489,11.394027438054245
13.184223974194907,6.776955802405588,17.342710463469512,4.903140096729387,15.900236340323657,11.456732619769886,16.182315564993594,9.198647826413312,4.158486489274605,6.553592523040499,13.184223974194907,17.342710463469512,4.903140096729387,11.456732619769886
13.165172439060315,6.752540631963964,17.41713224415033,4.890008840244488,15.862728944379755,11.506059962202803,16.126719665397825,9.199013252182514,4.251959805090015,6.616051121958315,13.165172439060315,17.41713224415033,4.890008840244488,11.506059962202803
13.14730503116844,6.740016055392236,17.472877079425476,4.91418281401978,15.807435373228206,11.55624785346222,16.07127719553305,9.224661732124618,4.325572048257037,6.642065039442441,13.14730503116844,17.472877079425476,4.91418281401978,11.55624785346222
13.128551352478508,6.76467973043877,17.509723824228427,4.939224666546152,15.771116603201698,11.618209413438713,15.979060204114203,9.237166246043644,4.3811724717499185,6.678984746892561,13.128551352478508,17.509723824228427,4.939224666546152,11.618209413438713
