6_x,6_y,5_x,5_y,13_x,13_y,width_orange,length_orange,min_x_orange,max_x_orange,min_y_orange,max_y_orange
16.800332891154117,10.064486600667776,11.296346466023111,11.499118759609628,18.023179920080956,6.469486202843513,6.726833454057845,5.029632556766114,11.296346466023111,18.023179920080956,6.469486202843513,11.499118759609628
16.744748767385317,10.226442285413317,11.33304337594421,11.53590519788445,17.929775128112205,6.445948610171184,6.596731752167994,5.0899565877132655,11.33304337594421,17.929775128112205,6.445948610171184,11.53590519788445
16.651356726741003,10.363520920129291,11.388645179445652,11.597027643314732,17.818579320496898,6.422601687201,6.4299341410512465,5.174425956113732,11.388645179445652,17.818579320496898,6.422601687201,11.597027643314732
16.63357944444174,10.536968956250572,11.444245042756071,11.633611514088985,17.6895894641651,6.3615221387944825,6.245344421409028,5.272089375294502,11.444245042756071,17.6895894641651,6.3615221387944825,11.633611514088985
16.55909335284897,10.711768299568316,11.4631509362181,11.6705886064818,17.522792747066173,6.288950261059561,6.059641810848074,5.381638345422239,11.4631509362181,17.522792747066173,6.288950261059561,11.6705886064818
16.540209009281835,10.94694654053482,11.444251920451793,11.720611921497024,17.355997041353877,6.229019485484094,5.911745120902085,5.4915924360129305,11.444251920451793,17.355997041353877,6.229019485484094,11.720611921497024
16.44793383321818,11.146475129052252,11.407560890130974,11.75818480350609,17.20699330295998,6.180795547587718,5.799432412829006,5.577389255918372,11.407560890130974,17.20699330295998,6.180795547587718,11.75818480350609
16.37345060636329,11.357710558877102,11.35196790511012,11.80860133928124,17.022410567520684,6.170876243346522,5.670442662410563,5.6377250959347185,11.35196790511012,17.022410567520684,6.170876243346522,11.80860133928124
16.281172476470505,11.520059441964872,11.25856701227308,11.834140840192672,16.855617776226648,6.147381579423514,5.597050763953568,5.686759260769159,11.25856701227308,16.855617776226648,6.147381579423514,11.834140840192672
16.188893341941693,11.669767224205886,11.166277118793792,11.84777093337787,16.688824032299227,6.111989414433372,5.522546913505435,5.735781518944497,11.166277118793792,16.688824032299227,6.111989414433372,11.84777093337787
16.133310114443642,11.84362037936308,11.110683133514929,11.885546380963724,16.484228366976637,6.126823215299159,5.373545233461709,5.758723165664565,11.110683133514929,16.484228366976637,6.126823215299159,11.885546380963724
16.022132951234177,12.05599260073022,11.091782119453605,11.910287525356631,16.317437599423307,6.128610746175667,5.225655479969703,5.927381854554552,11.091782119453605,16.317437599423307,6.128610746175667,12.05599260073022
15.947648693827745,12.25458690889077,11.110687011774452,11.93462353160698,16.169547819346963,6.105657093637351,5.058860807572511,6.148929815253419,11.110687011774452,16.169547819346963,6.105657093637351,12.25458690889077
15.928760412730083,12.440687928439438,11.129591963418925,11.959703131866378,16.002758003635066,6.119342126234316,4.873166040216141,6.321345802205122,11.129591963418925,16.002758003635066,6.119342126234316,12.440687928439438
15.83648618246383,12.652857566931903,11.091784057566487,11.934826099563177,15.89156118142241,6.083354123625773,4.7997771238559235,6.569503443306131,11.091784057566487,15.89156118142241,6.083354123625773,12.652857566931903
15.72530699663611,12.839947573585244,11.036184196140985,11.898242228109632,15.780364360722444,6.047366122583653,4.74418016458146,6.792581451001591,11.036184196140985,15.780364360722444,6.047366122583653,12.839947573585244
15.633026832141084,12.977014227004062,10.980584335209688,11.861658357405904,15.650270536517343,6.085940086975884,4.669686201307655,6.891074140028178,10.980584335209688,15.650270536517343,6.085940086975884,12.977014227004062
15.595228719337092,13.076317326999693,10.9627913796168,11.837310435383122,15.557983630672297,6.136749969740038,4.632437339720292,6.939567357259655,10.9627913796168,15.595228719337092,6.136749969740038,13.076317326999693
15.50294954445319,13.2260250667619,10.94388448834408,11.787692261482404,15.465694703547168,6.16227766402502,4.559065056109109,7.0637474027368805,10.94388448834408,15.50294954445319,6.16227766402502,13.2260250667619
15.410670366899662,13.375732802176548,10.9438854879483,11.800333345760638,15.372295858218711,6.213099460770365,4.466784878951362,7.162633341406184,10.9438854879483,15.410670366899662,6.213099460770365,13.375732802176548
15.391777190679964,13.50011551957306,10.962788441383992,11.800130777290232,15.31670488408175,6.288054675900675,4.428988749295971,7.2120608436723845,10.962788441383992,15.391777190679964,6.288054675900675,13.50011551957306
15.372883018091564,13.611857143727343,10.962788441383992,11.800130777290232,15.280019834402728,6.399986989880294,4.410094576707571,7.211870153847049,10.962788441383992,15.372883018091564,6.399986989880294,13.611857143727343
15.35510663321594,13.797946226363235,10.999477532700196,11.738019323806904,15.224431831314648,6.51212188799302,4.355629100515744,7.285824338370215,10.999477532700196,15.35510663321594,6.51212188799302,13.797946226363235
15.336217307913302,13.971406128203476,11.036170502539202,11.724985018074076,15.168841863244776,6.599718191385077,4.3000468053741,7.371687936818399,11.036170502539202,15.336217307913302,6.599718191385077,13.971406128203476
15.336235842411227,14.207125343441716,11.091767426352556,11.724389228870486,15.149944853428629,6.674280147132428,4.244468416058671,7.532845196309288,11.091767426352556,15.336235842411227,6.674280147132428,14.207125343441716
15.391843460056483,14.342607233415585,11.18517513520822,11.785106536258652,15.149950796483832,6.748639517561786,4.206668324848263,7.593967715853799,11.18517513520822,15.391843460056483,6.748639517561786,14.342607233415585
15.391854210023771,14.479428482219838,11.296371921739183,11.82109461919181,15.224463506477152,6.908457337153406,4.095482288284588,7.570971145066432,11.296371921739183,15.391854210023771,6.908457337153406,14.479428482219838
15.447467661062069,14.689269752265934,11.463164689770874,11.84458942239234,15.316770256176005,7.106007773643016,3.9843029712911946,7.583261978622918,11.463164689770874,15.447467661062069,7.106007773643016,14.689269752265934
