9_x,9_y,10_x,10_y,11_x,11_y,width_blue,length_blue,min_x_blue,max_x_blue,min_y_blue,max_y_blue
22.137512369673093,8.433099490488187,27.010665939848472,2.4819287809377872,27.511350692211565,6.367800128291862,5.373838322538472,5.9511707095504,22.137512369673093,27.511350692211565,2.4819287809377872,8.433099490488187
21.803923966741337,8.350417443630441,26.88057411930719,2.5450415389081336,27.400161842738942,6.431453813485361,5.5962378759976055,5.8053759047223075,21.803923966741337,27.400161842738942,2.5450415389081336,8.350417443630441
21.41473959112313,8.280228742025214,26.76938627047864,2.6205928146883486,27.2522789647098,6.494757154735297,5.837539373586669,5.659635927336865,21.41473959112313,27.2522789647098,2.6205928146883486,8.280228742025214
21.006654211237368,8.234781247236844,26.658198420144664,2.696144087364736,27.085493130672216,6.558263077377302,6.0788389194348476,5.538637159872108,21.006654211237368,27.085493130672216,2.696144087364736,8.234781247236844
20.617473798878148,8.214413390038391,26.54700859016681,2.74715671628411,26.936496350550275,6.597039685997517,6.319022551672127,5.467256673754282,20.617473798878148,26.936496350550275,2.74715671628411,8.214413390038391
20.20938545672829,8.131786189365917,26.435819720751677,2.8100668658914825,26.82530648849113,6.648052241925656,6.615921031762841,5.321719323474435,20.20938545672829,26.82530648849113,2.8100668658914825,8.131786189365917
19.76460219585721,8.037654736170838,26.324629892626582,2.8610794908511394,26.67742164717649,6.686816929543431,6.9128194513192796,5.1765752453196985,19.76460219585721,26.67742164717649,2.8610794908511394,8.037654736170838
19.33871886503594,7.905397411422276,26.21344101930433,2.923989635953681,26.52953484444106,6.701042974426142,7.190815979405119,4.981407775468595,19.33871886503594,26.52953484444106,2.923989635953681,7.905397411422276
18.91284051144266,7.835602019124723,26.084460173350163,2.975192936034907,26.362745027749853,6.71472800775339,7.449904516307193,4.860409083089816,18.91284051144266,26.362745027749853,2.975192936034907,7.835602019124723
18.4858502171337,7.765818554794501,25.935470423589432,3.1009702584381595,26.21374729815922,6.741607085717403,7.727897081025521,4.664848296356341,18.4858502171337,26.21374729815922,3.1009702584381595,7.765818554794501
18.059971858306533,7.696023184770901,25.82428053192769,3.1512392782378496,26.08476338851535,6.754886948573211,8.024791530208816,4.544783906533052,18.059971858306533,26.08476338851535,3.1512392782378496,7.696023184770901
17.615192562449277,7.651712604565104,25.71308872308501,3.177713253755109,25.935764647007478,6.769124907252401,8.3205720845582,4.4739993508099944,17.615192562449277,25.935764647007478,3.177713253755109,7.651712604565104
17.151509244387427,7.594219923039413,25.56520486168457,3.22837554510799,25.78787980544178,6.807889586382282,8.636370561054353,4.365844377931422,17.151509244387427,25.78787980544178,3.22837554510799,7.594219923039413
16.70672300619931,7.462908871905426,25.43511207522855,3.279590750302677,25.60218905395653,6.847059431765088,8.895466047757218,4.183318121602749,16.70672300619931,25.60218905395653,3.279590750302677,7.462908871905426
16.261943647467522,7.417854728686132,25.30613218283183,3.3426915561501382,25.473205206212626,6.861082886235167,9.211261558745104,4.075163172535994,16.261943647467522,25.473205206212626,3.3426915561501382,7.417854728686132
15.817164347996036,7.373544187454473,25.176036403410173,3.356727006514982,25.362014331800445,6.899454309043728,9.54484998380441,4.016817180939491,15.817164347996036,25.362014331800445,3.356727006514982,7.373544187454473
15.391289899027898,7.352826069753036,25.028150564682687,3.382850654189248,25.231919492595143,6.92538719888101,9.840629593567245,3.9699754155637876,15.391289899027898,25.231919492595143,3.382850654189248,7.352826069753036
14.983207535106358,7.345301976586861,24.87915284873709,3.409729813050353,25.101822695328774,6.92678145257644,10.118615160222417,3.9355721635365084,14.983207535106358,25.101822695328774,3.409729813050353,7.345301976586861
14.557332137175267,7.312686368026291,24.73126599258172,3.4232123441160507,24.93503388752661,6.953107591465063,10.377701750351344,3.88947402391024,14.557332137175267,24.93503388752661,3.4232123441160507,7.312686368026291
14.131453771363038,7.242891085867294,24.5833791978255,3.437438469643631,24.806050037146925,6.967131042183119,10.674596265783887,3.805452616223663,14.131453771363038,24.806050037146925,3.437438469643631,7.242891085867294
13.704461445840453,7.147825552473801,24.453285392582384,3.476012548358148,24.71264821764891,6.980773158316166,11.008186771808456,3.671813004115653,13.704461445840453,24.71264821764891,3.476012548358148,7.147825552473801
13.27858408565977,7.090671383611212,24.305399552501186,3.5021361900683603,24.60145532373423,6.993862346426032,11.322871238074459,3.5885351935428513,13.27858408565977,24.60145532373423,3.5021361900683603,7.090671383611212
12.852709694013685,7.070696893583296,24.15640279252252,3.540912860613433,24.472474442834816,7.045065541487562,11.619764748821131,3.529784032969863,12.852709694013685,24.472474442834816,3.540912860613433,7.070696893583296
12.444629226973136,7.0869678146547885,24.008520003447213,3.604959836930142,24.323478667874905,7.096483234307863,11.878849440901769,3.491523397377721,12.444629226973136,24.323478667874905,3.604959836930142,7.096483234307863
12.03654585081259,7.066802663193834,23.86063715569599,3.6682632150607057,24.21228678299157,7.122213532138035,12.175740932178979,3.4539503170773296,12.03654585081259,24.21228678299157,3.6682632150607057,7.122213532138035
11.629573402885404,7.033984512475587,23.7305443646384,3.719478395939199,24.101096915688448,7.1732260545267605,12.471523512803044,3.4537476585875617,11.629573402885404,24.101096915688448,3.719478395939199,7.1732260545267605
11.202584101775363,6.976842293043769,23.600451513610484,3.769949979798741,23.989906038090567,7.211597462416286,12.787321936315204,3.441647482617545,11.202584101775363,23.989906038090567,3.769949979798741,7.211597462416286
10.776704717617587,6.894405998752077,23.452567706001677,3.821355833058399,23.860923137596533,7.237518423049016,13.084218419978946,3.4161625899906167,10.776704717617587,23.860923137596533,3.821355833058399,7.237518423049016
10.368622289741634,6.886138358341032,23.28577993071528,3.860323166908936,23.71192534399856,7.26365388200885,13.343303054256925,3.4033307150999135,10.368622289741634,23.71192534399856,3.860323166908936,7.26365388200885
9.942748905132934,6.878804980456655,23.15568713703296,3.911538338464202,23.58294345100295,7.3022159517686624,13.640194545870017,3.3906776133044603,9.942748905132934,23.58294345100295,3.911538338464202,7.3022159517686624
9.516879441359103,6.920548740382826,23.026707237558718,3.974639106133317,23.471750616252123,7.316048726195731,13.95487117489302,3.3414096200624144,9.516879441359103,23.471750616252123,3.974639106133317,7.316048726195731
9.12770293780156,6.949258163063742,22.89661342804409,4.013213163030261,23.360558729425865,7.34177901632577,14.232855791624305,3.328565853295509,9.12770293780156,23.360558729425865,4.013213163030261,7.34177901632577
